Site,Date,Transect,Lat (Start),Long (Start),Lat (End),Long (End),Quad No,Side,Rock,Boulder,Cobble,Sand,Investigators,Entered By,Checked By,Notes
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,1,Land,100,0,0,0,"ADT, KR, EV",DP,KR,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,2,Sea,100,0,0,0,"ADT, KR, EV",DP,KR,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,3,Land,100,0,0,0,"ADT, KR, EV",DP,KR,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,4,Sea,78,0,7,15,"ADT, KR, EV",DP,KR,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,5,Land,82,0,8,10,"ADT, KR, EV",DP,KR,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,1,Sea,100,0,0,0,"ADT, KR, EV",DP,KR,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,2,Land,100,0,0,0,"ADT, KR, EV",DP,KR,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,3,Sea,100,0,0,0,"ADT, KR, EV",DP,KR,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,4,Land,100,0,0,0,"ADT, KR, EV",DP,KR,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,5,Sea,90,0,0,10,"ADT, KR, EV",DP,KR,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,1,NA,75,0,0,25,"PS, LD, AH, CB",DP,KR,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,2,NA,90,0,0,10,"PS, LD, AH, CB",DP,KR,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,3,NA,95,0,0,5,"PS, LD, AH, CB",DP,KR,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,4,NA,90,0,0,10,"PS, LD, AH, CB",DP,KR,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,5,NA,100,0,0,0,"PS, LD, AH, CB",DP,KR,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,1,NA,NA,NA,NA,NA,"LD, DP",DP,KR,tide too high to finish
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,2,NA,NA,NA,NA,NA,"LD, DP",DP,KR,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,3,NA,NA,NA,NA,NA,"LD, DP",DP,KR,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,4,NA,NA,NA,NA,NA,"LD, DP",DP,KR,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,5,NA,NA,NA,NA,NA,"LD, DP",DP,KR,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,1,Land,0,95,0,5,"PS, KR, EV",DP,KR,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,2,Sea,0,70,30,0,"PS, KR, EV",DP,KR,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,3,Land,50,50,0,0,"PS, KR, EV",DP,KR,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,4,Sea,0,100,0,0,"PS, KR, EV",DP,KR,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,5,Land,0,80,12,8,"PS, KR, EV",DP,KR,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,1,Sea,100,0,0,0,IH,EV,KR,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,2,Land,100,0,0,0,IH,EV,KR,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,3,Sea,70,0,0,30,IH,EV,KR,mussels were indicated by sand
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,4,Land,96,0,0,40,IH,EV,KR,mussels were indicated by sand
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,5,Sea,100,0,0,0,IH,EV,KR,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,1,Land,95,0,5,0,"PS, IH",DP,KR,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,2,Sea,100,0,0,0,"PS, IH",DP,KR,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,3,Land,0,90,10,0,"PS, IH",DP,KR,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,4,Sea,50,50,0,0,"PS, IH",DP,KR,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,5,Land,0,70,10,20,"PS, IH",DP,KR,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,1,Sea,0,95,5,0,"IH, KR",DP,KR,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,2,Sea,0,100,0,0,"IH, KR",DP,KR,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,3,Land,100,0,0,0,"IH, KR",DP,KR,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,4,Land,NA,NA,NA,NA,"IH, KR",DP,KR,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,5,Sea,100,0,0,0,"IH, KR",DP,KR,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,1,Sea,100,0,0,0,"PS, IH",EV,KR,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,2,Land,97,0,0,3,"PS, IH",EV,KR,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,3,Sea,90,0,0,10,"PS, IH",EV,KR,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,4,Land,90,0,0,10,"PS, IH",EV,KR,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,5,Sea,75,0,0,25,"PS, IH",EV,KR,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,1,Land,100,0,0,0,"PS, DP, EV",DP,KR,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,2,Sea,0,70,30,0,"PS, DP, EV",DP,KR,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,3,Land,100,0,0,0,"PS, DP, EV",DP,KR,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,4,Sea,NA,NA,NA,NA,"PS, DP, EV",DP,KR,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,5,Land,100,0,0,0,"PS, DP, EV",DP,KR,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,1,Land,100,0,0,0,"DP, EV, EC",EV,KR,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,2,Sea,100,0,0,0,"DP, EV, EC",EV,KR,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,3,Land,16,8,0,76,"DP, EV, EC",EV,KR,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,4,Sea,0,32,3,65,"DP, EV, EC",EV,KR,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,5,Land,96,0,0,4,"DP, EV, EC",EV,KR,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,4,NA,0,70,30,0,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,5,Sea,0,75,20,5,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,1,NA,NA,NA,NA,NA,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,2,NA,NA,NA,NA,NA,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,3,NA,NA,NA,NA,NA,"EC, ADT, LD",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,1,Land,100,0,0,0,"KR, DP, EV",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,2,Sea,NA,NA,NA,NA,"KR, DP, EV",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,3,Land,0,100,0,0,"KR, DP, EV",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,4,Sea,NA,NA,NA,NA,"KR, DP, EV",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,5,Land,0,82,18,0,"KR, DP, EV",KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,1,Land,40,60,0,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,2,Sea,0,90,10,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,3,Land,0,80,20,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,4,Sea,0,80,20,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,5,Land,0,10,90,0,IH,KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,1,NA,100,0,0,0,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,2,NA,100,0,0,0,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,3,NA,100,0,0,0,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,4,NA,0,100,0,40,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,5,NA,100,0,0,0,"ADT, LD, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,1,NA,NA,NA,NA,NA,"AJH, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,2,NA,NA,NA,NA,NA,"AJH, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,3,NA,NA,NA,NA,NA,"AJH, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,4,NA,NA,NA,NA,NA,"AJH, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,5,NA,NA,NA,NA,NA,"AJH, EV",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,1,Land,100,0,0,0,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,2,Sea,90,10,0,0,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,3,Sea,100,0,0,0,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,4,Land,100,0,0,0,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,5,Sea,95,5,0,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,1,NA,0,90,10,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,2,NA,100,0,0,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,3,NA,90,10,0,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,4,NA,100,0,0,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,5,NA,100,0,0,0,"KR, AJH",KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,1,Land,90,0,0,10,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,2,Sea,40,25,0,35,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,3,Land,90,0,0,10,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,4,Land,100,0,0,0,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,5,Sea,95,0,0,5,KR,KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,1,Land,100,0,0,0,"PS, EV, LD",KR,,"quad1 was part of a deeper tide pool, moved over to 2-3m"
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,2,Sea,45,55,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,3,Land,90,10,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,4,Sea,0,100,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,5,Land,100,0,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,1,Sea,90,10,0,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,2,Land,50,50,0,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,3,Sea,0,100,0,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,4,Land,100,0,0,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,5,Sea,83,10,0,7,"IH, ADT",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.56128,121.95457,1,Land,100,0,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.56128,121.95457,2,Sea,100,0,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.56128,121.95457,3,Land,0,95,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.56128,121.95457,4,Sea,75,25,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.56128,121.95457,5,Land,5,95,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,1,Sea,0,90,0,10,IH,KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,2,NA,NA,NA,NA,NA,IH,KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,3,Sea,0,60,40,0,IH,KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,4,Land,100,0,0,0,IH,KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,5,Sea,100,0,0,0,IH,KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,1,NA,NA,NA,NA,NA,"RB, EC, KR",KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,2,NA,NA,NA,NA,NA,"RB, EC, KR",KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,3,NA,NA,NA,NA,NA,"RB, EC, KR",KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,4,NA,NA,NA,NA,NA,"RB, EC, KR",KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,5,NA,NA,NA,NA,NA,"RB, EC, KR",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,1,Land,NA,NA,NA,NA,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,2,Sea,NA,NA,NA,NA,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,3,Land,NA,NA,NA,NA,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,4,Sea,NA,NA,NA,NA,"ADT, LD, DP",KR,,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,5,Land,NA,NA,NA,NA,"ADT, LD, DP",KR,,
China Rock,20210628,3,36.60605,121.95968,36.60595,121.95968,1,NA,NA,NA,NA,NA,"ADT, DP, LD",KR,,
China Rock,20210628,3,36.60605,121.95968,36.60595,121.95968,2,NA,NA,NA,NA,NA,"ADT, DP, LD",KR,,
China Rock,20210628,3,36.60605,121.95968,36.60595,121.95968,3,NA,NA,NA,NA,NA,"ADT, DP, LD",KR,,
China Rock,20210628,3,36.60605,121.95968,36.60595,121.95968,4,NA,NA,NA,NA,NA,"ADT, DP, LD",KR,,
China Rock,20210628,3,36.60605,121.95968,36.60595,121.95968,5,NA,NA,NA,NA,NA,"ADT, DP, LD",KR,,
China Rock ,20210627,2,36.60607,121.95964,36.60624,121.95961,1,NA,0,0,100,0,"KR, PS, EC",KR,,
China Rock ,20210627,2,36.60607,121.95964,36.60624,121.95961,2,NA,0,40,60,0,"KR, PS, EC",KR,,
China Rock ,20210627,2,36.60607,121.95964,36.60624,121.95961,3,NA,21,26,48,0,"KR, PS, EC",KR,,
China Rock ,20210627,2,36.60607,121.95964,36.60624,121.95961,4,NA,8,45,47,0,"KR, PS, EC",KR,,
China Rock ,20210627,2,36.60607,121.95964,36.60624,121.95961,5,NA,98,2,0,0,"KR, PS, EC",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,1,Sea,NA,NA,NA,NA,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,2,NA,NA,NA,NA,NA,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,3,NA,NA,NA,NA,NA,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,4,NA,NA,NA,NA,NA,"IH, AJH",KR,,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,5,NA,NA,NA,NA,NA,"IH, AJH",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,1,NA,50,25,10,25,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,2,NA,100,0,0,0,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,3,NA,25,0,75,25,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,4,NA,0,100,0,0,"LD, ADT",KR,,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,5,NA,0,90,10,5,"LD, ADT",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,1,Land,80,15,0,5,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,2,Sea,30,30,0,40,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,3,Land,70,0,0,30,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,4,Sea,100,0,0,0,"KR, EV, DP",KR,,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,5,Land,80,10,10,0,"KR, EV, DP",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,1,Land,30,40,20,0,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,2,Sea,0,95,5,0,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,3,Land,80,10,0,10,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,4,Sea,0,50,50,0,"PS, IH",KR,,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,5,Land,90,0,10,0,"PS, IH",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,1,NA,85,5,0,10,"PS, AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,2,NA,85,9,2,4,"PS, AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,3,NA,4,96,0,0,"PS, AJH, EV",KR,,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,4,NA,44,17,32,7,"PS, AJH, EV",KR,,Large pipe is counted as CR
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,5,NA,96,0,0,4,"PS, AJH, EV",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,1,Sea,90,0,0,10,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,2,Land,0,85,2,13,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,3,Sea,100,0,0,0,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,4,Land,70,10,0,20,"KR, EV, DP",KR,,
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,5,Sea,0,80,0,20,"KR, EV, DP",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,1,Land,70,10,20,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,2,Sea,97,0,3,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,3,Land,0,80,20,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,4,Sea,95,0,5,0,"PS, IH",KR,,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,5,Land,95,5,0,0,"PS, IH",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,1,NA,NA,NA,NA,NA,"EV, EC ",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,2,NA,NA,NA,NA,NA,"EV, EC ",KR,,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,3,NA,NA,NA,NA,NA,"EV, EC ",KR,,
