"","Site","Date","Season","Transect","Quadrat","drift_quad_winter","drift_quad_spring","Latitude","Longitude","Side","Cr_NC","Cr_Cor","Cr_AC","Filament","Corticated","Foliose","Leathery","Kelp","Kelp_species","SG","BR","Mussel","Anemone","Barnacle","Other","Other.spp.","Drift_Kelp","Drift.Kelp.Spp.","Rock","Boulder","Cobble","Sand","density","Urchin_.0.5","Urchin_.1","Urchin_1","Urchin_2","Urchin_3","Urchin_4","Urchin_5","Urchin_.6","Urchins_measured","Notes","total","fleshy","coralline","crust","invert","non_food","big_urchins"
"14","Pescadero Pt.",2022-07-13,"Summer","CQ","2",NA,1,36.56115,-121.95444,NA,2.06185567010309,38.1443298969072,2.06185567010309,0,0,0,0,0,"",0,43.298969072165,0,14.4329896907216,0,0,"",NA,"",100,0,0,0,172,0,2,6,3,4,4,3,0,22,"4% of quad for pop subsample",97,0,40.2061855670103,42.2680412371134,14.4329896907216,57.7319587628866,0.318181818181818
"15","Pescadero Pt.",2022-07-13,"Summer","CQ","3",2,NA,36.5614,-121.95464,NA,23.8805970149254,6.71641791044776,5.97014925373134,0,0,24.6268656716418,11.9402985074627,5.22388059701492,"",0,18.6567164179104,1.49253731343284,0,1.49253731343284,0,"",NA,"",40,50,0,10,172,1,1,6,15,14,21,5,0,63,"50% of quad for pop subsample",134,41.7910447761194,12.6865671641791,36.5671641791045,2.98507462686567,21.6417910447761,0.412698412698413
"16","Pescadero Pt.",2022-07-13,"Summer","CQ","4",2,NA,36.5615,-121.95484,NA,6.50406504065041,22.7642276422764,0.813008130081301,0,0,7.31707317073171,8.94308943089431,39.0243902439024,"",0,13.0081300813008,0,0,1.6260162601626,0,"",NA,"",0,85,5,5,41,0,0,6,18,13,9,1,0,47,"",123,55.2845528455285,23.5772357723577,30.0813008130081,1.6260162601626,14.6341463414634,0.212765957446809
"17","Cannery Row",2022-07-14,"Summer","CQ","1",2,2,36.614501,-121.897741,NA,3,2,3,0,6,0,7,0,"",0,62,4,2,9,2,"",NA,"",100,0,0,0,498,NA,NA,NA,5,11,7,2,0,25,"only measured urchins >= 2",100,13,5,8,17,79,0.36
"18","Cannery Row",2022-07-14,"Summer","CQ","2",2,2,36.614428,-121.897853,NA,2,1,2,0,0,0,0,0,"",0,44,40,3,3,5,"",NA,"",100,0,0,0,405,NA,NA,NA,7,13,6,0,0,26,"only measured urchins >= 2 ; lots of leathery drift algae caught on urchins",100,0,3,5,51,95,0.230769230769231
"19","Cannery Row",2022-07-14,"Summer","CQ","3",1,NA,36.61396,-121.89767,NA,7.29166666666667,4.16666666666667,0,1.04166666666667,1.04166666666667,0,19.7916666666667,0,"",0,25,40.625,0,1.04166666666667,0,"",NA,"",60,40,0,0,59,0,3,14,9,15,14,1,0,56,"measured all urchins except 3 ; 1 4cm balding urchin",96,20.8333333333333,4.16666666666667,11.4583333333333,41.6666666666667,66.6666666666667,0.267857142857143
"20","Cannery Row",2022-07-14,"Summer","CQ","4",NA,1,36.61377,-121.89748,NA,8.51063829787234,2.12765957446809,8.51063829787234,0,0,0,31.9148936170213,0,"",0,36.1702127659575,1.06382978723404,11.7021276595745,0,0,"",NA,"",95,0,0,5,73,0,1,3,12,7,7,0,0,30,"",94,31.9148936170213,10.6382978723404,19.1489361702128,12.7659574468085,48.936170212766,0.233333333333333
"21","Cannery Row",2022-07-14,"Summer","CQ","5",NA,1,36.61372,-121.89741,NA,26.8292682926829,2.4390243902439,1.21951219512195,1.21951219512195,1.21951219512195,0,0,0,"",0,48.780487804878,6.09756097560976,12.1951219512195,0,0,"",NA,"",100,0,0,0,136,0,1,4,7,10,6,0,0,28,"",82,1.21951219512195,3.65853658536585,30.4878048780488,18.2926829268293,67.0731707317073,0.214285714285714
"22","Pt. Pinos",2022-07-15,"Summer","CQ","1",NA,NA,36.63771,-121.93635,NA,12.1495327102804,1.86915887850467,0.934579439252336,0.934579439252336,25.2336448598131,9.34579439252336,30.8411214953271,0.934579439252336,"",0.934579439252336,14.9532710280374,0,1.86915887850467,0,0,"",NA,"",0,80,20,0,138,0,0,10,42,12,4,1,0,69,"measured 25% of quadrat",107,66.3551401869159,2.80373831775701,14.9532710280374,1.86915887850467,16.8224299065421,0.072463768115942
"23","Pt. Pinos",2022-07-15,"Summer","CQ","2",NA,1,36.63799,-121.93675,NA,31.25,2.08333333333333,1.04166666666667,0,1.04166666666667,5.20833333333333,32.2916666666667,0,"",0,23.9583333333333,0,2.08333333333333,1.04166666666667,0,"",NA,"",0,90,10,0,59,4,2,23,31,16,9,3,0,88,"measured all of quadrat",96,38.5416666666667,3.125,34.375,3.125,27.0833333333333,0.136363636363636
"24","Pt. Pinos",2022-07-15,"Summer","CQ","3",NA,1,36.63809,-121.93687,NA,12.8205128205128,5.12820512820513,2.56410256410256,0.854700854700855,7.69230769230769,6.83760683760684,5.12820512820513,0.854700854700855,"",24.7863247863248,17.9487179487179,13.6752136752137,1.70940170940171,0,0,"",NA,"",0,85,0,15,49,0,2,18,31,13,5,1,0,70,"sand is mussel shells ; all of quadrat measured",117,20.5128205128205,7.69230769230769,20.5128205128205,15.3846153846154,33.3333333333333,0.0857142857142857
"25","Pt. Pinos",2022-07-15,"Summer","CQ","4",NA,2,36.63838,-121.93712,NA,30.0970873786408,6.79611650485437,0.970873786407767,0,6.79611650485437,2.9126213592233,15.5339805825243,0,"",0,25.2427184466019,3.88349514563107,7.76699029126214,0,0,"",NA,"",100,0,0,0,31,0,0,3,15,11,3,1,1,34,"measured all of quadrat",103,25.2427184466019,7.76699029126214,37.8640776699029,11.6504854368932,36.8932038834951,0.147058823529412
"26","Pt. Pinos",2022-07-15,"Summer","CQ","5",NA,2,36.63841,-121.93712,NA,30.8510638297872,4.25531914893617,2.12765957446809,1.06382978723404,3.19148936170213,2.12765957446809,26.5957446808511,0,"",0,21.2765957446809,4.25531914893617,3.19148936170213,1.06382978723404,0,"",NA,"",25,75,0,0,97,0,2,7,27,36,20,3,0,95,"measured 60% of quad (all but 11 >2 urchins)",94,31.9148936170213,6.38297872340426,37.2340425531915,8.51063829787234,29.7872340425532,0.242105263157895
"27","Carmel Pt.",2022-07-16,"Summer","CQ","1",1,1,36.54414,-121.93384,NA,5.40540540540541,14.4144144144144,1.8018018018018,0,1.8018018018018,33.3333333333333,25.2252252252252,0,"",5.40540540540541,12.6126126126126,0,0,0,0,"",NA,"",0,75,25,0,172,9,10,30,22,26,7,4,2,110,"measured 8% of quadrat",111,60.3603603603604,16.2162162162162,21.6216216216216,0,12.6126126126126,0.118181818181818
"28","Carmel Pt.",2022-07-16,"Summer","CQ","2",NA,NA,36.54383,-121.93411,NA,4.89510489510489,6.99300699300699,0.699300699300699,0,0.699300699300699,41.2587412587413,35.6643356643357,0,"",0,8.39160839160839,0,1.3986013986014,0,0,"",NA,"",0,85,15,0,155,0,16,27,29,26,5,1,0,104,"measured 25% of quadrat",143,77.6223776223776,7.69230769230769,12.5874125874126,1.3986013986014,9.79020979020979,0.0576923076923077
"29","Carmel Pt.",2022-07-16,"Summer","CQ","3",2,2,36.54362,-121.93422,NA,6.12244897959184,16.3265306122449,3.40136054421769,0,3.40136054421769,33.3333333333333,29.2517006802721,0,"",0.680272108843537,7.48299319727891,0,0,0,0,"",NA,"",0,100,0,0,130,2,2,15,32,14,11,6,1,83,"measured 60% of quadrat",147,65.9863945578231,19.7278911564626,25.8503401360544,0,7.48299319727891,0.216867469879518
"30","Carmel Pt.",2022-07-16,"Summer","CQ","4",NA,NA,36.54334,-121.93416,NA,2.18978102189781,0.72992700729927,0,0,0,37.956204379562,50.3649635036496,0,"",0,8.02919708029197,0,0.72992700729927,0,0,"",NA,"",0,85,10,5,47,2,2,19,30,16,1,0,0,70,"measured 100% of quadrat",137,88.3211678832117,0.72992700729927,2.91970802919708,0.72992700729927,8.75912408759124,0.0142857142857143
"31","Carmel Pt.",2022-07-16,"Summer","CQ","5",NA,NA,36.54319,-121.93391,NA,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,"",7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,"",NA,"",0,85,8,7,31,0,0,7,17,11,3,0,0,38,"measured 100% of quadrat",294,28.5714285714286,14.2857142857143,21.4285714285714,28.5714285714286,35.7142857142857,0.0789473684210526
"32","Soberanes Pt.",2022-07-30,"Summer","CQ","1",1,1,36.45285,-121.93023,NA,0.87719298245614,19.2982456140351,7.01754385964912,0,5.26315789473684,17.5438596491228,25.4385964912281,6.14035087719298,"",0,0,0,11.4035087719298,5.26315789473684,1.75438596491228,"",0,"",100,0,0,0,98,5,9,10,6,17,18,1,0,66,"measured 50% of quadrat",114,54.3859649122807,26.3157894736842,27.1929824561403,18.4210526315789,18.4210526315789,0.287878787878788
"33","Soberanes Pt.",2022-07-30,"Summer","CQ","2",1,1,36.45283,-121.93012,NA,4.71698113207547,16.9811320754717,8.49056603773585,0.943396226415094,0.943396226415094,2.83018867924528,6.60377358490566,1.88679245283019,"",0,15.0943396226415,0,37.7358490566038,0.943396226415094,2.83018867924528,"",1,"Postelsia palmaeformis",100,0,0,0,184,0,1,8,10,7,1,0,0,27,"measured 16% of quadrat",106,12.2641509433962,25.4716981132075,30.188679245283,41.5094339622642,56.6037735849057,0.037037037037037
"34","Soberanes Pt.",2022-07-30,"Summer","CQ","3",2,NA,36.45279,-121.92966,NA,2.32558139534884,23.2558139534884,30.2325581395349,0,2.32558139534884,0,6.97674418604651,2.32558139534884,"",0,25.5813953488372,5.81395348837209,1.16279069767442,0,0,"",2,"",100,0,0,0,225,1,16,52,50,24,6,0,0,149,"measured 50% of quadrat",86,11.6279069767442,53.4883720930233,55.8139534883721,6.97674418604651,32.5581395348837,0.0402684563758389
"35","Soberanes Pt.",2022-07-30,"Summer","CQ","4",NA,2,36.45237,-121.93001,NA,1.45985401459854,8.75912408759124,23.3576642335766,0,0,0.72992700729927,2.18978102189781,14.5985401459854,"",0,2.91970802919708,45.2554744525547,0.72992700729927,0,0,"",0,"",100,0,0,0,71,0,1,5,9,7,7,1,0,30,"measured 8% of quadrat",137,17.5182481751825,32.1167883211679,33.5766423357664,45.985401459854,48.9051094890511,0.266666666666667
"36","Soberanes Pt.",2022-07-30,"Summer","CQ","5",NA,NA,36.45225,-121.92986,NA,10.2803738317757,22.4299065420561,15.8878504672897,0.934579439252336,4.67289719626168,2.80373831775701,0.934579439252336,2.80373831775701,"",1.86915887850467,1.86915887850467,30.8411214953271,3.73831775700935,0.934579439252336,0,"",0,"",100,0,0,0,45,0,2,19,9,1,0,0,0,31,"measured 50% of quadrat",107,11.214953271028,38.3177570093458,48.5981308411215,35.5140186915888,37.3831775700935,0
"37","Otter Cove",2022-07-31,"Summer","CQ","1",NA,2,36.62962,-121.92134,NA,36.144578313253,3.6144578313253,0,8.43373493975904,1.20481927710843,0,33.7349397590361,0,"",0,15.6626506024096,0,1.20481927710843,0,0,"",0,"",88,0,0,12,204,0,2,16,46,88,62,8,0,222,"measured all of quadrat",83,34.9397590361446,3.6144578313253,39.7590361445783,1.20481927710843,16.8674698795181,0.315315315315315
"38","Otter Cove",2022-07-31,"Summer","CQ","2",NA,2,36.62951,-121.9214,NA,23,6,4,3,5,0,52,0,"",2,5,0,0,0,0,"",0,"",0,84,12,4,47,2,4,10,9,11,22,5,0,63,"measured all of quadrat",100,57,10,33,0,5,0.428571428571429
"39","Otter Cove",2022-07-31,"Summer","CQ","3",2,1,36.62807,-121.92035,NA,5.31914893617021,3.19148936170213,1.06382978723404,1.06382978723404,28.7234042553192,1.06382978723404,35.1063829787234,0,"",19.1489361702128,5.31914893617021,0,0,0,0,"",0,"",0,95,5,0,109,3,5,35,32,41,27,8,1,152,"measured all of quadrat",94,64.8936170212766,4.25531914893617,9.57446808510638,0,5.31914893617021,0.236842105263158
"40","Otter Cove",2022-07-31,"Summer","CQ","4",2,1,36.62802,-121.92033,NA,10.1010101010101,1.01010101010101,12.1212121212121,2.02020202020202,30.3030303030303,0,31.3131313131313,0,"",7.07070707070707,5.05050505050505,0,1.01010101010101,0,0,"",0,"",60,20,0,20,52,1,3,13,22,13,12,4,1,69,"measured all of quadrat",99,61.6161616161616,13.1313131313131,23.2323232323232,1.01010101010101,6.06060606060606,0.246376811594203
"41","Otter Cove",2022-07-31,"Summer","CQ","5",2,1,36.62802,-121.92027,NA,2.06185567010309,2.06185567010309,3.09278350515464,2.06185567010309,44.3298969072165,2.06185567010309,40.2061855670103,2.06185567010309,"",0,2.06185567010309,0,0,0,0,"",7,"Egregia menziesii",0,95,5,0,108,1,2,30,29,29,26,24,0,141,"measured all of quadrat",97,88.659793814433,5.15463917525773,7.21649484536082,0,2.06185567010309,0.354609929078014
"42","Pt. Lobos",2022-08-14,"Summer","CQ","1",NA,NA,36.51958,-121.95452,NA,0.613496932515337,47.8527607361963,10.4294478527607,0,0,0,6.13496932515337,31.2883435582822,"Alaria marginata",0,0.613496932515337,2.45398773006135,0.613496932515337,0,0,"",0,"",100,0,0,0,69,0,15,41,32,5,0,0,0,93,"measured 24% of quadrat",163,37.4233128834356,58.2822085889571,58.8957055214724,3.06748466257669,3.68098159509202,0
"43","Pt. Lobos",2022-08-14,"Summer","CQ","2",NA,1,36.51935,-121.95367,NA,1.06382978723404,43.6170212765958,14.8936170212766,2.12765957446809,0,3.19148936170213,7.4468085106383,8.51063829787234,"Alaria marginata",0,10.6382978723404,0,6.38297872340426,0,2.12765957446809,"",0,"",100,0,0,0,147,0,3,19,11,1,0,0,0,34,"measured 8% of quadrat",94,19.1489361702128,58.5106382978723,59.5744680851064,8.51063829787234,19.1489361702128,0
"44","Pt. Lobos",2022-08-14,"Summer","CQ","3",NA,1,36.51933,-121.95366,NA,22,19.3333333333333,3.33333333333333,0.666666666666667,0.666666666666667,1.33333333333333,4.66666666666667,46,"Alaria marginata, Egregia menziesii",0,0.666666666666667,0.666666666666667,0.666666666666667,0,0,"",0,"",0,100,0,0,18,0,0,21,9,5,3,0,0,38,"measured 95% of quadrat",150,52.6666666666667,22.6666666666667,44.6666666666667,1.33333333333333,2,0.0789473684210526
"45","Pt. Lobos",2022-08-14,"Summer","CQ","4",NA,2,36.51936,-121.95287,NA,3.79746835443038,20.253164556962,9.49367088607595,0,1.89873417721519,2.53164556962025,0.632911392405063,41.1392405063291,"Alaria marginata, Egregia menziesii",0,0.632911392405063,19.620253164557,0,0,0,"",0,"",100,0,0,0,53,0,0,7,14,8,0,0,0,29,"",158,46.2025316455696,29.746835443038,33.5443037974684,19.620253164557,20.253164556962,0
"46","Carmel Pt.",2022-10-26,"Fall","CQ","1",2,2,36.54385,-121.9341,NA,26,5,0,0,4,19,37,0,"",0,6,2,0,1,0,"",NA,"",0,80,10,10,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,60,5,31,3,9,NA
"47","Carmel Pt.",2022-10-26,"Fall","CQ","2",2,2,36.54375,-121.9342,NA,11.5044247787611,9.73451327433628,1.76991150442478,0,4.42477876106195,26.5486725663717,38.0530973451327,0,"",0,4.42477876106195,1.76991150442478,0.884955752212389,0.884955752212389,0,"",NA,"",NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",113,69.0265486725664,11.5044247787611,23.0088495575221,3.53982300884956,7.9646017699115,NA
"48","Carmel Pt.",2022-10-26,"Fall","CQ","3",2,2,36.54383,-121.93414,NA,10.2803738317757,7.47663551401869,1.86915887850467,0,13.0841121495327,18.6915887850467,35.5140186915888,0,"",0,10.2803738317757,0,2.80373831775701,0,0,"",NA,"",0,70,30,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",107,67.2897196261682,9.34579439252336,19.6261682242991,2.80373831775701,13.0841121495327,NA
"49","Carmel Pt.",2022-10-26,"Fall","CQ","4",2,2,36.54374,-121.93419,NA,8.33333333333333,5.20833333333333,10.4166666666667,0,4.16666666666667,31.25,28.125,0,"",0,10.4166666666667,0,1.04166666666667,1.04166666666667,0,"",NA,"",0,95,5,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",96,63.5416666666667,15.625,23.9583333333333,2.08333333333333,12.5,NA
"50","Carmel Pt.",2022-10-26,"Fall","CQ","5",1,1,36.54392,-121.93398,NA,3.09278350515464,3.09278350515464,40.2061855670103,0,2.06185567010309,2.06185567010309,35.0515463917526,3.09278350515464,"",5.15463917525773,5.15463917525773,0,1.03092783505155,0,0,"",NA,"",0,70,30,0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",97,42.2680412371134,43.298969072165,46.3917525773196,1.03092783505155,6.18556701030928,NA
"51","Pt. Lobos",2022-10-26,"Fall","CQ","1",NA,NA,36.51916,-121.95376,NA,14.6341463414634,34.9593495934959,11.3821138211382,0.813008130081301,0,4.8780487804878,0.813008130081301,0,"",0,16.260162601626,0,4.0650406504065,0,12.1951219512195,"tubeworms",5,"",NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",123,5.69105691056911,46.3414634146341,60.9756097560976,16.260162601626,32.520325203252,NA
"52","Pt. Lobos",2022-10-26,"Fall","CQ","2",NA,1,36.51934,-121.95364,NA,0.892857142857143,33.0357142857143,12.5,8.03571428571429,0,13.3928571428571,1.78571428571429,16.0714285714286,"",0,0.892857142857143,0,9.82142857142857,0,3.57142857142857,"tubeworms",0,"",NA,NA,NA,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",112,31.25,45.5357142857143,46.4285714285714,13.3928571428571,14.2857142857143,NA
"53","Pt. Lobos",2022-10-26,"Fall","CQ","3",NA,1,36.5193,-121.95351,NA,18.6915887850467,9.34579439252336,1.86915887850467,0,0.934579439252336,29.9065420560748,8.41121495327103,20.5607476635514,"",0,7.47663551401869,0,2.80373831775701,0,0,"",0,"",NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",107,59.8130841121495,11.214953271028,29.9065420560748,2.80373831775701,10.2803738317757,NA
"54","Pt. Lobos",2022-10-26,"Fall","CQ","4",NA,NA,36.51954,-121.95361,NA,0,6.92307692307692,43.0769230769231,0,0.769230769230769,0.769230769230769,0,26.9230769230769,"",0,0.769230769230769,20,0.769230769230769,0,0,"",0,"",NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",130,28.4615384615385,50,50,20.7692307692308,21.5384615384615,NA
"55","Pt. Lobos",2022-10-26,"Fall","CQ","5",NA,NA,36.51945,-121.95371,NA,9.45945945945946,37.1621621621622,13.5135135135135,0.675675675675676,0.675675675675676,0,0.675675675675676,33.7837837837838,"",0,2.02702702702703,1.35135135135135,0.675675675675676,0,0,"",1,"",NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",148,35.1351351351351,50.6756756756757,60.1351351351351,2.02702702702703,4.05405405405405,NA
"56","Cannery Row",2022-10-27,"Fall","CQ","1",1,1,36.61382,-121.89749,NA,28,4,3,0,5,1,7,0,"",0,42,7,3,0,0,"",1,"",100,0,0,0,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",100,13,7,35,10,52,NA
"57","Cannery Row",2022-10-27,"Fall","CQ","2",1,1,36.61398,-121.89777,NA,31.8681318681319,2.1978021978022,1.0989010989011,0,1.0989010989011,1.0989010989011,41.7582417582418,0,"",0,14.2857142857143,2.1978021978022,4.3956043956044,0,0,"",0,"",NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",91,43.956043956044,3.2967032967033,35.1648351648352,6.59340659340659,20.8791208791209,NA
"58","Cannery Row",2022-10-27,"Fall","CQ","3",1,1,36.61425,-121.89786,NA,22.4299065420561,2.80373831775701,0.934579439252336,0,0.934579439252336,0,0.934579439252336,0,"",0,34.5794392523364,28.9719626168224,7.47663551401869,0.934579439252336,0,"",0,"",NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",107,1.86915887850467,3.73831775700935,26.1682242990654,37.3831775700935,71.9626168224299,NA
"59","Cannery Row",2022-10-27,"Fall","CQ","4",2,2,36.61447,-121.89783,NA,22.5806451612903,2.1505376344086,0,0,4.3010752688172,2.1505376344086,29.0322580645161,0,"",0,33.3333333333333,4.3010752688172,0,2.1505376344086,0,"",0,"",NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",93,35.4838709677419,2.1505376344086,24.7311827956989,6.45161290322581,39.7849462365591,NA
"60","Cannery Row",2022-10-27,"Fall","CQ","5",2,2,36.61451,-121.89775,NA,21.875,5.20833333333333,4.16666666666667,0,2.08333333333333,3.125,51.0416666666667,0,"",0,9.375,1.04166666666667,1.04166666666667,1.04166666666667,0,"",0,"",NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",96,56.25,9.375,31.25,3.125,12.5,NA
"61","Pt. Pinos",2022-10-28,"Fall","CQ","1",NA,NA,36.63759,-121.93612,NA,18.9655172413793,0.862068965517241,0,0,6.03448275862069,6.89655172413793,58.6206896551724,0,"",0,4.31034482758621,0.862068965517241,3.44827586206897,0,0,"",0,"",NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",116,71.551724137931,0.862068965517241,19.8275862068966,4.31034482758621,8.62068965517241,NA
"62","Pt. Pinos",2022-10-28,"Fall","CQ","2",NA,NA,36.63765,-121.93626,NA,42.1052631578947,9.02255639097744,0.75187969924812,0,8.27067669172932,5.26315789473684,30.8270676691729,0,"",0,1.50375939849624,0.75187969924812,0.75187969924812,0.75187969924812,0,"",0,"",100,0,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",133,44.3609022556391,9.77443609022556,51.8796992481203,2.25563909774436,3.7593984962406,NA
"63","Pt. Pinos",2022-10-28,"Fall","CQ","3",NA,1,36.63793,-121.93675,NA,43.3962264150943,0.943396226415094,0.943396226415094,0,6.60377358490566,6.60377358490566,27.3584905660377,0,"",0,10.377358490566,0.943396226415094,2.83018867924528,0,0,"",0,"",0,95,5,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",106,40.5660377358491,1.88679245283019,45.2830188679245,3.77358490566038,14.1509433962264,NA
"64","Pt. Pinos",2022-10-28,"Fall","CQ","4",NA,1,36.63809,-121.93688,NA,22.5,0.833333333333333,15,0,5,7.5,6.66666666666667,10,"",0,5.83333333333333,21.6666666666667,4.16666666666667,0.833333333333333,0,"",0,"",NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",120,29.1666666666667,15.8333333333333,38.3333333333333,26.6666666666667,32.5,NA
"65","Pt. Pinos",2022-10-28,"Fall","CQ","5",NA,2,36.63843,-121.93713,NA,21.2962962962963,17.5925925925926,0,0,20.3703703703704,13.8888888888889,17.5925925925926,0,"",0,5.55555555555556,1.85185185185185,0.925925925925926,0.925925925925926,0,"",0,"",NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",108,51.8518518518518,17.5925925925926,38.8888888888889,3.7037037037037,9.25925925925926,NA
