Site,Date,Transect,Lat..Start.,Long..Start.,Lat..End.,Long..End.,Quad.No,Side,Cr.NC,Cr.Cor,AC,Fila.,Cort.,Foliose,Leath.,Kelp,SG,BR,Mussel,Anem.,Barn.,Other,Investigators,Entered.By,Checked.By,Notes
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,1,Sea,10,24,20,1,7,15,12,55,0,3,20,0,4,0,"KR, EV",DP,,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,2,Land,10,5,15,1,10,23,3,18,0,16,28,0,3,0,"KR, EV",DP,,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,3,Sea,3,1,2,0,1,2,25,90,65,1,0,0,0,1,"KR, EV",DP,,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,4,Land,23,10,5,0,22,18,30,4,0,8,14,0,6,5,"KR, EV",DP,,
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,5,Sea,35,10,8,0,7,45,26,10,0,8,0,1,4,2,"KR, EV",DP,,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,1,Sea,89,3,0,0,10,35,54,0,0,1,0,0,0,0,"DP, EC, ADT",DP,,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,2,Land,14,12,0,0,3,35,48,4,0,0,0,0,0,0,"DP, EC, ADT",DP,,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,3,Sea,33,0.5,0,0,18,15,70,50,0,0.5,0,0,0,0,"DP, EC, ADT",DP,,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,4,Land,37,0,0,0,4,1,33,0,0,19,0,0,12,0,"DP, EC, ADT",DP,,
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,5,Sea,30,0.5,0.5,0,10,41,40,0,0,8,5,0,2,0,"DP, EC, ADT",DP,,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,1,Land,98,0,0,0,24,0,46,0,0,2,1,0,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,2,Sea,33,4,0,0,13,7,12,0,0,8,55,6,5,0,"ADT, KR, EV",DP,,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,3,Land,22,2,0,0,6,1,83,0,0,2,2,4,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,4,Sea,19,3,0,0,2,0,70,0,7,22,2,3,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,5,Land,6,5,0,0,2,0,65,0,9,13,2,4,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,1,Sea,85,3,0,0,18,0,16,0,0,5,2,10,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,2,Land,37,1,0,0,33,0,78,0,0,3,0,5,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,3,Sea,21,0,0,0,47,0,76,0,0,5,1,1,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,4,Land,31,1,0,0,41,0,69,0,2,9,0,3,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,5,Sea,12,5,0,0,7,0,34,0,28,12,3,4,0,0,"ADT, KR, EV",DP,,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,1,NA,5,28,2,0,0,0,24,1,35,3,1,6,0,0,"PS, LD, AH, CB",DP,,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,2,NA,38,1,0,0,0,0,46,0,2,2,1,5,2,0,"PS, LD, AH, CB",DP,,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,3,NA,50,10,0,1,1,12,45,0,12,2,1,3,1,1,"PS, LD, AH, CB",DP,,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,4,NA,2,35,6,0,0,0,40,0,16,0,2,5,0,0,"PS, LD, AH, CB",DP,,
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,5,NA,3,2,14,0,2,0,10,40,8,3,32,10,4,4,"PS, LD, AH, CB",DP,,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LD, DP",DP,,tide too high to finish
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LD, DP",DP,,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LD, DP",DP,,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,4,NA,20,25,0,0,0,5,9,0,0,0,0,0,0,0,"LD, DP",DP,,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,5,NA,4.5,4.5,0.5,0,10,0,0.5,0,8,8.5,0,0,0,0,"LD, DP",DP,,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,1,Land,27,11,1,0,4,67,30,0,0,4,0,0,3,2,"PS, KR, EV",DP,,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,2,Sea,15,5,2,0,1,70,50,0,0,8,0,0,0,0,"PS, KR, EV",DP,,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,3,Land,30,5,0,0,4,32,55,0,0,2,0,1,2,4,"PS, KR, EV",DP,,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,4,Sea,14,4,1,0,0,60,67,0,0,4,0,2,1,4,"PS, KR, EV",DP,,
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,5,Land,22,2,1,0,1,64,55,0,0,11,0,1,0,0,"PS, KR, EV",DP,,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,1,Sea,39,0,0,0,1,1,7,0,0,23,34,6,4,0,IH,EV,,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,2,Land,58,0,0,0,0,0,5,0,3,10,14,1,2,0,IH,EV,,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,3,Sea,21,0,0,0,1,2,33,3,29,4,24,3,0,0,IH,EV,,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,4,Land,31,0,0,1,2,1,54,0,2,2,9,5,1,0,IH,EV,,
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,5,Sea,37,4,0,0,2,2,23,0,0,13,10,2,2,0,IH,EV,,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,1,Land,15,0,0,0,16,1,58,0,0,9,0,2,0,0,"PS, IH",DP,,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,2,Sea,13,0,0,0,8,6,71,0,0,4,0,1,0,0,"PS, IH",DP,,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,3,Land,3,8,1,0,26,29,55,0,0,4,0,0,0,0,"PS, IH",DP,,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,4,Sea,7,2,0,0,26,23,46,0,0,3,0,1,0,0,"PS, IH",DP,,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,5,Land,3,6,0,0,12,42,44,0,0,9,0,1,0,0,"PS, IH",DP,,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,1,Sea,9,1,0,1,21,1,44,0,0,3,0,2,0,0,"PS, IH",EV,,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,2,Land,10,4,0,0,8,0,65,0,0,2,0,13,0,1,"PS, IH",EV,,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,3,Sea,15,2,0,0,27,0,36,0,0,9,3,2,2,0,"PS, IH",EV,,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,4,Land,20,1,0,0,21,0,47,0,0,11,3,2,0,0,"PS, IH",EV,,BR is mostly mussel debris
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,5,Sea,30,0,0,0,20,0,95,0,0,5,0,20,0,0,"PS, IH",EV,,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,1,Sea,34,5,0,0,11,14,26,12,0,6,0,1,1,0,"IH, KR",DP,,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,2,Sea,7,19,12,0,10,28,31,1,1,1,0,0,1,0,"IH, KR",DP,,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,3,Land,22,4,1,0,15,27,13,0,0,4,3,0,2,0,"IH, KR",DP,,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,4,Land,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"IH, KR",DP,,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,5,Sea,27,1,2,0,11,58,26,0,7,1,0,0,0,0,"IH, KR",DP,,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,1,Land,80,2,0,0,1,65,54,0,0,1,0,0,0,0,"PS, DP, EV",DP,,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,2,Sea,21,20,9,0,0,4,6,15,3,22,0,2,1,1,"PS, DP, EV",DP,,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,3,Land,45,1,1,0,8,54,18,0,0,2,3,0,1,0,"PS, DP, EV",DP,,
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,4,Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PS, DP, EV",DP,,Did not do because tide came up
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,5,Land,7,3,0,0,31,1,11,0,0,30,27,1,4,0,"PS, DP, EV",DP,,"13-17m underwater, quad 5 done at 20-21m"
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,1,Land,1,0.5,0,0,3,0,14,0,0,15,0,0,80,0,"DP, EV, EC",EV,,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,2,Sea,80,4,0,0,20,0.5,75,0,0,2,0,10,0,0,"DP, EV, EC",EV,,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,3,Land,11,0,0,0,0,1,10,0,55,60,0,1,0,0,"DP, EV, EC",EV,,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,4,Sea,12,0,0,0,4,0,20,0,60,47,0,1,0,0,"DP, EV, EC",EV,,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,5,Land,85,0,0,0.5,11,0,70,0,0,4,0,4,0,0,"DP, EV, EC",EV,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,4,NA,44,15,19,0,0,24,57,1,0.5,20,1,2,4,0,"EC, ADT, LD",KR,,
Carmel Point,20210711,4,36.54374,121.93417,36.54359,121.9347,5,Sea,25,21,14,0,1,54,51,1,1,46,0,1,15,2,"EC, ADT, LD",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,1,Land,39,11,1,0,1,43,64,0,0,0,0,0,0,0,"KR, DP, EV",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,2,Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KR, DP, EV",KR,,"tide rising, could not complete Q2"
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,3,Land,100,0,0,0,0,45,90,0,0,10,0,0,0,0,"KR, DP, EV",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,4,Sea,10,15,12,0,0,37,44,2,0,4,0,1,1,3,"KR, DP, EV",KR,,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,5,Land,8,6,1,0,1,52,38,0,0,7,0,0,0,0,"KR, DP, EV",KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,1,Land,28,5,1,0,0,56,22,0,0,5,0,1,0,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,2,Sea,11,6,2,0,1,76,19,0,0,4,0,0,1,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,3,Land,31,1,1,0,1,49,18,0,0,12,0,1,2,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,4,Sea,24,2,1,0,1,46,23,0,0,21,0,1,4,0,IH,KR,,
Carmel Point,20210714,NA2,36.54378,121.93433,36.54359,121.93419,5,Land,98,5,0,0,2,50,90,0,0,10,0,0,0,0,IH,KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,1,NA,0,50,0,0,25,0,90,0,0,4,2,0.5,2,0.5,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,2,NA,0,0,0,0,20,0,44,0,0,60,9,0,0.5,2,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,3,NA,98,0,0,0,4,4.8,56,0,0,0.5,0,2,0,0,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,4,NA,50,0,0,0,0.5,24,90,0,0,24,0,0.5,2,0,"ADT, LD, EV",KR,,
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,5,NA,80,0,0,0,8.5,36.5,98,0,0,0.05,0,2,0.01,0,"ADT, LD, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AJH, EV",KR,,quadrat underwater so couldn't complete
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,2,NA,39,0,2,0,16,0,41,0,0,5,0,3,2,0,"AJH, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,3,NA,6,0,2,0,20,0,21,0,0,18,20,1,0,12,"AJH, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,4,NA,2,0,0,0,33,0.5,10,0,0,10,56,2,7,0,"AJH, EV",KR,,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,5,NA,13,4,15,0.5,0,0,24,0,0,25,26,12,0,0,"AJH, EV",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,1,Land,21,10,5,1,4,15,8,0,0,42,1,1,20,0,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,2,Sea,5,0,1,0,1,1,6,0,0,95,7,1,10,0,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,3,Sea,20,32,12,0,0,1,5,80,0,7,5,1,0,1,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,4,Land,42,10,4,0,8,1,5,10,0,57,13,0,7,0,"KR, AJH",KR,,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,5,Sea,13,25,20,0,2,2,1,18,0,60,0,6,1,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,1,NA,15,12,8,0,8,0,4,10,0,50,2,0,35,1,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,2,NA,25,30,12,0,1,0,0,0,0,60,0,5,0,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,3,NA,8,10,6,0,0,0,0,0,0,55,0,30,0,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,4,NA,10,10,5,0,0,0,0,0,0,95,0,8,0,0,"KR, AJH",KR,,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,5,NA,0,5,3,0,0,0,0,0,0,95,0,1,0,0,"KR, AJH",KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,1,Land,62,0,1,1,22,0,20,0,0,25,0,1,0,0,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,2,Sea,32,0,0,0,5,2,62,0,0,40,0,2,0,0,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,3,Land,30,6,3,0,18,0,30,0,0,20,0,9,0,0,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,4,Land,15,0,0,0,38,0,48,0,0,3,0,1,0,1,KR,KR,,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,5,Sea,32,0,0,0,25,0,34,0,3,13,0,4,0,0,KR,KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,1,Land,2,9,3,0,0,1,0,0,0,94,1,3,2,5,"PS, EV, LD",KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,2,Sea,5,6,1,0,0,8,0,0,0,80,0,1,4,3,"PS, EV, LD",KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,3,Land,2,11,1,0,0,0,0,0,0,86,0,1,4,2,"PS, EV, LD",KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,4,Sea,22,14,4,0,15,10,8,24,0,11,29,2,1,4,"PS, EV, LD",KR,,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,5,Land,43,12,1,0,2,9,3,22,0,8,0,0,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,1,Sea,35,5,1,0,5,5,1,0,0,34,0,0,7,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,2,Land,19,22,3,5,0,3,4,0,0,42,0,2,0,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,3,Sea,32,4,4,0,1,1,0,7,0,47,0,0,2,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,4,Land,42,1,0,0,21,4,19,0,0,20,16,0,3,0,"IH, ADT",KR,,
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,5,Sea,5,20,16,0,2,0,3,4,0,17,0,2,0,40,"IH, ADT",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,1,Land,2,25,3,0,4,40,10,51,0,1,0,0,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,2,Sea,30,12,12,0,4,30,2,8,0,17,2,0,0,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,3,Land,17,4,1,0,3,3,5,30,0,50,0,0,2,0,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,4,Sea,6,25,15,0,1,4,1,16,0,40,0,0,0,3,"PS, EV, LD",KR,,
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,5,Land,50,0,10,0,1,4,5,22,0,3,20,1,3,2,"PS, EV, LD",KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,1,Sea,44,12,11,1,0,6,3,0,0,28,0,0,0,0,IH,KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IH,KR,,Tide too high
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,3,Sea,31,27,21,0,2,1,8,0,0,23,1,0,0,0,IH,KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,4,Land,20,36,16,0,1,20,21,11,0,1,1,1,1,0,IH,KR,,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,5,Sea,6,15,25,0,3,4,0,16,0,6,0,1,0,15,IH,KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,1,NA,5,1,0,0,20,0,8,0,0,22,25,8,0,8,"RB, EC, KR",KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,2,NA,11,4,10,0,29,0,8,0,0,19,5,4,15,10,"RB, EC, KR",KR,,
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,3,NA,9,8,1,0,30,0,20,0,0,22,1,4,0,0,"RB, EC, KR",KR,,
