Site,Date,Transect.No,Lat..Start.,Long..Start.,Lat..End.,Long..End.,Quad.No,Side,X..0.5.cm,X..1.cm,X1.cm,X2.cm,X3.cm,X4.cm,X5.cm,X6.cm,S_purpuratus,P_miniata,P_ochraceus,L_aequalis
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,5,Sea,0,23,42,33,80,134,38,2,352,1,0,1
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,1,Sea,1,23,21,22,30,28,3,0,128,0,0,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,2,Land,1,3,4,8,31,25,8,0,80,0,0,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,3,Sea,0,8,11,7,7,1,0,0,34,0,0,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,4,Land,0,0,3,19,28,5,1,0,56,0,0,0
Cannery Row,20210626,3,36.61393,121.89761,36.614,121.89775,5,Sea,0,11,31,51,113,46,10,1,263,0,0,0
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,2,NA,9,27,12,32,81,81,16,4,262,0,0,0
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,3,NA,0,0,1,0,5,1,0,0,7,0,0,0
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,4,NA,0,0,0,1,1,0,0,0,2,0,0,0
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,5,NA,4,18,30,22,30,31,8,1,144,0,0,1
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,1,Sea,0,15,118,28,23,36,12,0,232,0,0,2
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,3,Sea,1,3,47,31,39,15,5,0,141,6,0,8
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,4,Land,0,4,59,55,31,15,1,0,165,0,0,1
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95477,5,NA,1,14,103,67,101,39,5,2,332,0,0,2
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,1,Land,0,1,6,17,16,0,0,0,40,0,0,0
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,2,Sea,0,9,18,20,48,25,0,1,121,0,0,0
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,3,Land,0,10,29,20,51,37,10,3,160,0,0,2
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,4,Sea,2,28,56,60,101,56,5,2,310,0,0,0
Pescadero Point,20210725,2,36.56146,121.95471,36.561279999999996,121.95457,5,Land,0,9,12,12,25,30,10,1,99,3,0,0
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,1,Sea,0,3,20,10,15,25,5,1,79,1,0,11
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,2,Land,0,17,75,16,4,31,23,8,174,4,0,1
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,3,Sea,1,14,43,27,47,53,19,1,205,9,0,1
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,4,NA,0,0,0,0,0,0,0,0,0,0,0,0
Pescadero Point,20210726,4,36.56119,121.95417,36.56108,121.95408,5,Sea,1,52,108,109,223,69,16,4,582,0,0,11
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,1,Land,0,3,27,93,76,27,6,0,232,0,0,1
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,2,Sea,2,8,36,60,76,25,2,0,209,2,0,0
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,3,Land,0,0,22,32,95,46,7,0,202,2,1,1
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,4,Sea,0,1,11,12,25,26,8,2,85,0,1,1
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,5,Land,1,1,11,9,42,30,7,0,101,0,0,3
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,1,Land,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,2,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,3,Land,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,4,Land,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,5,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210721,2,36.54352,121.93419,36.6213,121.90335,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210721,2,36.54352,121.93419,36.6213,121.90335,2,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210721,2,36.54352,121.93419,36.6213,121.90335,3,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210721,2,36.54352,121.93419,36.6213,121.90335,4,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210721,2,36.54352,121.93419,36.6213,121.90335,5,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,1,Sea,0,7,10,0,0,0,0,0,17,0,0,0
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,2,Land,0,0,1,0,0,0,0,0,1,0,0,0
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,3,Sea,0,10,67,38,4,2,0,0,121,0,0,0
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,4,Land,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,5,Sea,0,0,2,1,0,0,0,0,3,0,0,0
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,1,Land,0,0,2,2,2,0,0,0,6,0,0,0
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,2,Sea,0,0,1,1,1,0,0,0,3,0,0,0
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,3,Land,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,4,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,5,Land,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,1,Sea,0,0,1,0,0,0,0,0,1,0,0,0
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,2,Land,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,3,Sea,5,13,42,27,21,12,3,0,123,0,0,0
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,4,Sea,0,6,21,7,3,5,11,12,65,1,0,0
Hopkins,20210724,6,36.62172,121.90352,36.62175,121.90372,5,Land,1,2,4,1,0,0,0,0,8,0,0,0
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,1,Land,1,0,11,5,10,2,1,0,30,0,0,0
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,2,Sea,1,0,3,8,0,1,0,0,13,0,0,0
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,3,Land,0,1,1,5,6,5,0,0,18,0,0,0
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,4,Sea,0,9,26,40,50,24,14,3,166,1,2,0
Hopkins,20210724,7,36.62176,121.90339,36.62192,121.90342,5,Land,0,2,7,4,5,5,1,0,24,1,0,0
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,1,Sea,0,2,3,5,2,0,0,0,12,1,0,0
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,2,Land,0,0,0,5,0,1,0,0,6,4,0,1
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,3,Sea,0,0,0,0,1,0,0,0,1,0,0,0
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,4,Land,0,0,0,0,0,0,0,0,0,0,0,0
Point Pinos,20210727,9,36.63832,121.93836,36.6382,121.93809,5,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,2,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,3,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,4,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,5,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,2,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,3,NA,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,4,NA,0,2,5,1,0,0,0,0,8,0,0,0
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,5,NA,0,2,4,7,8,5,0,0,26,0,0,0
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,1,Sea,0,0,3,12,9,1,0,0,25,0,1,3
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,2,Land,0,0,0,0,0,0,0,0,0,0,0,0
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,3,Sea,0,0,0,0,0,0,0,0,0,1,0,0
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,4,Land,0,1,2,5,8,1,0,0,17,2,0,0
Point Pinos,20210727,7,36.6385,121.93833,36.6384,121.93849,5,Sea,0,0,0,0,0,0,0,0,0,3,0,0
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,1,Land,1,2,2,4,3,3,1,0,16,2,1,2
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,2,Sea,0,4,9,3,10,6,2,0,34,1,0,2
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,3,Land,0,0,0,0,0,0,0,0,0,1,1,0
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,4,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Point Pinos,20210727,8,36.63837,121.9385,36.63827,121.93832,5,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,1,Sea,3,16,59,20,20,16,2,0,136,0,0,0
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,2,Land,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,3,Sea,7,31,106,37,16,8,1,0,206,0,0,0
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,5,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,1,Land,6,24,35,16,12,2,0,0,95,0,0,0
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,2,Sea,19,61,103,90,89,64,19,9,454,2,0,6
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,3,Land,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,4,Sea,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Carmel Point,20210710,2,36.54411,121.93386,36.54395,121.93394,5,Land,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,1,Land,0,1,3,2,2,1,0,0,9,0,0,2
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,2,Sea,0,25,33,22,12,11,10,2,115,2,0,2
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,3,Land,1,32,59,28,16,18,12,2,168,1,0,1
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,4,Sea,7,85,130,57,52,47,29,4,411,3,0,4
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,5,Land,6,26,50,24,16,24,7,3,156,0,0,0
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,1,Land,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,2,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,3,Land,5,2,16,25,2,0,0,0,50,0,0,2
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,4,Sea,11,20,61,30,2,6,0,0,130,3,0,3
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,5,Land,3,19,51,19,18,5,1,1,117,1,0,1
Carmel Point,20210711,NA2,36.54374,121.93417,36.54359,121.9347,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Carmel Point,20210711,NA2,36.54374,121.93417,36.54359,121.9347,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Carmel Point,20210711,NA2,36.54374,121.93417,36.54359,121.9347,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Carmel Point,20210711,NA2,36.54374,121.93417,36.54359,121.9347,4,NA,21,28,51,30,37,18,11,1,197,0,0,0
Carmel Point,20210711,NA2,36.54374,121.93417,36.54359,121.9347,5,NA,60,50,113,86,84,47,25,6,471,NA,NA,NA
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,1,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,2,Land,0,0,0,0,0,0,0,0,0,0,0,0
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,3,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,4,Land,0,0,0,0,1,0,0,0,1,0,0,0
Sea Palm,20210712,4,36.6288,121.92147,36.62897,121.9216,5,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,1,NA,0,0,0,1,0,0,0,0,1,NA,NA,NA
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,2,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,3,NA,0,0,4,1,0,0,0,0,5,NA,NA,NA
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,4,NA,3,1,15,2,9,4,2,0,36,NA,NA,NA
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,5,NA,0,0,4,5,8,6,3,0,26,NA,NA,NA
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,1,Land,0,0,2,0,2,0,0,0,4,3,0,0
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,2,Sea,0,11,49,20,44,16,5,1,146,2,0,3
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,3,Land,1,0,0,1,1,0,0,0,3,0,0,1
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,4,Sea,0,4,12,3,5,2,0,0,26,2,0,1
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,5,Land,1,5,13,0,3,3,0,0,25,1,0,0
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,1,Land,0,5,7,0,4,1,0,0,17,0,1,0
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,2,Sea,0,2,4,2,1,0,0,0,9,0,0,0
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,3,Land,0,0,0,0,0,0,0,0,0,3,0,1
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,4,Sea,0,0,5,3,7,0,0,0,15,1,0,6
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,5,Land,0,0,0,0,0,0,0,0,0,0,0,0
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,1,Land,0,0,0,0,0,0,0,0,0,0,0,0
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,2,Sea,0,0,0,0,0,0,0,0,0,0,0,0
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,3,Land,0,0,0,0,0,0,0,0,0,0,0,0
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,4,Sea,0,0,0,0,0,0,0,0,0,0,0,0
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,5,Land,0,0,2,2,0,0,0,0,4,0,0,0
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,1,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,2,NA,0,0,0,0,0,0,0,0,0,0,0,0
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,3,NA,0,0,0,0,0,0,0,0,0,0,0,0
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,4,NA,0,0,1,0,0,0,0,0,1,0,0,0
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,5,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,1,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,2,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,3,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,4,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,5,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,1,NA,0,3,17,17,9,4,0,0,50,0,1,0
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,2,NA,0,0,2,6,9,8,1,1,27,0,0,0
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,3,NA,0,4,15,23,30,22,2,2,98,0,0,1
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,4,NA,9,77,49,32,71,52,12,1,303,0,7,0
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,5,NA,0,3,0,3,1,2,0,0,9,0,0,0
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,1,Land,1,2,15,8,7,5,3,0,41,1,0,0
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,2,Sea,16,50,94,63,48,23,12,2,308,0,0,6
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,3,Land,0,0,0,1,1,3,0,0,5,0,0,1
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,4,Sea ,1,14,57,30,5,5,1,0,113,0,0,2
Carmel Point,20210714,NA1,36.54351,121.93417,36.54333,121.93414,5,Land ,4,11,20,21,6,1,0,0,63,3,0,2
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,1,NA,0,0,3,0,1,1,0,0,5,0,1,2
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,2,NA,0,1,10,3,7,0,0,0,21,0,0,0
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,3,NA,1,0,3,26,19,8,6,0,63,0,0,0
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,4,NA,8,21,22,55,32,8,2,0,148,0,1,7
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,5,NA,0,0,4,1,7,0,0,0,12,1,0,0
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,1,Sea,1,0,17,19,27,10,0,0,74,4,2,14
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,2,Land,0,0,5,11,26,5,2,0,49,6,1,9
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,3,NA,0,0,0,2,0,0,0,0,2,0,0,0
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,4,NA,0,1,9,9,8,1,0,0,28,0,0,8
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,5,NA,2,8,17,48,36,5,2,0,118,0,0,0
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,1,Sea,0,0,1,0,0,0,0,0,1,0,0,0
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,2,Land,0,0,0,0,0,0,0,0,0,0,0,0
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,3,Sea,0,1,10,9,4,4,1,0,29,0,0,1
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,4,Land,4,15,55,36,3,2,3,0,118,4,0,1
Carmel Point,20210710,3,36.54392,121.93395,36.54382,121.93414,5,Sea,7,6,18,5,11,4,1,0,52,0,0,0
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,1,NA,1,4,6,6,15,11,5,0,48,NA,NA,NA
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,2,NA,1,1,7,12,46,42,10,0,119,NA,NA,NA
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,3,NA,0,0,0,1,3,10,9,2,25,NA,NA,NA
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,4,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
Cannery Row,20210626,2,36.6138,121.89752,36.61392,121.89756,5,NA,0,0,0,0,1,0,1,0,2,NA,NA,NA
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,1,Land,7,2,36,46,86,16,7,1,201,0,0,1
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,2,Sea,9,3,15,53,65,26,2,0,173,0,0,0
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,3,Land,1,0,1,3,3,2,0,0,10,0,0,0
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,4,Sea,0,0,0,0,0,0,0,0,0,0,0,0
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,5,Land,2,0,3,1,9,7,0,0,22,0,0,0
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,1,Sea,1,3,10,17,26,5,6,0,68,0,1,0
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,2,Land,3,15,21,21,21,6,1,0,88,0,0,0
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,3,Sea,1,2,8,2,0,1,3,0,17,0,0,0
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,4,Land,1,6,5,8,7,4,0,0,31,0,1,0
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,5,Sea,21,21,24,42,114,54,5,0,281,0,0,0
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,1,Land,0,0,0,1,2,0,0,0,3,1,0,0
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,2,Sea,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,3,Land,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,4,Sea,1,9,28,25,15,14,5,5,102,4,0,0
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,5,Land,0,1,9,9,6,2,0,0,27,0,0,0
