Date,Site,Transect,Lat_Start,Long_Start,Lat_End,Long_End,Quad,Side,Rock,Boulder,Cobble,Sand,Investigators,Entered By,Checked By,Notes
250627,John Denver,5,36.63778,-121.93106,36.6378,-121093106,5,sea,0,90,5,5,MS + SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,1,land,80,10,10,0,SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,2,sea,100,0,0,0,SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,3,land,95,0,0,5,SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,4,land,0,90,5,5,SG,PC,,
250710,John Denver,6,36.63781,-121.93107,36.63761,-121.93133,5,sea,0,80,20,0,SG,PC,,
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,1,sea,20,70,0,10,RC+SG,MS,,
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,2,land,82,0,0,18,RC+SG,MS,,
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,3,sea,100,0,0,0,RC+SG,MS,,
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,4,sea,80,10,0,10,RC+SG,MS,,
250711,Cannery Row,1,36.613793,-121.89422,36.61383,-121.897616,5,sea,30,60,0,10,RC+SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,1,land,95,0,0,5,MS + SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,2,sea,40,0,5,0,MS + SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,3,land,50,50,0,10,MS + SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,4,land,50,80,0,10,MS + SG,MS,,
250711,Cannery Row,2,36.613937,-121.897656,N/A,N/A,5,sea,20,50,20,10,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,1,land,50,0,0,50,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,2,land,60,0,0,0,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,3,land,100,0,0,0,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,4,land,30,40,20,10,MS + SG,MS,,
250712,Cannery Row,3,36.61421,-121.897848,36.6142868,-121.897068,5,sea,40,40,0,20,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,1,sea,0,90,10,0,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,2,land,100,0,0,0,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,3,land,30,60,10,0,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,4,land,90,0,0,10,MS + SG,MS,,
250714,Cannery Row,4,36.614354,-121.897912,36.614497,-121.897772,5,no data,90,0,10,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,1,land,80,10,0,5,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,2,sea,100,0,0,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,3,land,99,0,0,1,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,4,sea,20,80,0,0,MS + SG,MS,,
250724,Cannery Row,5,36.614539,-121.897798,36.614449,-121.897991,5,land,100,0,0,0,MS + SG,MS,,
250724,Cannery Row,6,,,,,1,sea,70,0,0,30,MS + SG,MS,,
250724,Cannery Row,6,,,,,2,land,65,10,0,25,MS + SG,MS,,
250724,Cannery Row,6,,,,,3,sea,100,0,0,0,MS + SG,MS,,
250724,Cannery Row,6,,,,,4,sea,100,0,0,0,MS + SG,MS,,
250724,Cannery Row,6,,,,,5,land,100,0,0,0,MS + SG,MS,,
