Site,Year,NF_Prop,F_Prop
Hopkins,2022,0.101851852,0.666666667
Pescadero,2022,0.28125,0.28125
Pescadero,2022,0.339622642,0.283018868
Pescadero,2022,0.376237624,0.386138614
Pescadero,2022,0.409090909,0.431818182
Pescadero,2022,0.428571429,0.117647059
Pescadero,2022,0.295454546,0
Pescadero,2022,0.496240602,0.15037594
Pescadero,2022,0.5,0
Pescadero,2022,0.420289855,0.086956522
Pescadero,2022,0.265957447,0.212765957
Pescadero,2022,0.74,0
Pescadero,2022,0.679245283,0.113207547
Pescadero,2022,0.386554622,0.058823529
Pescadero,2022,0.521008403,0.008403361
Pescadero,2022,0.255555556,0.144444444
Pescadero,2022,0.626168224,0
Pescadero,2022,0.088495575,0.681415929
Pescadero,2022,0.244897959,0.704081633
Pescadero,2022,0.13559322,0.84180791
Pescadero,2022,0.303030303,0.505050505
Pescadero,2022,0.228571429,0.123809524
Pescadero,2022,0.182692308,0.326923077
Pescadero,2022,0.561904762,0.4
Pescadero,2022,0.391666667,0.5
Pescadero,2022,0.294117647,0.578431373
Point Pinos,2022,0.545454546,0.218181818
Point Pinos,2022,0.761006289,0.150943396
Point Pinos,2022,0.353982301,0.380530974
Point Pinos,2022,0.421568628,0.352941177
Point Pinos,2022,0.266666667,0.457142857
Point Pinos,2022,0.267241379,0.387931035
Point Pinos,2022,0.349056604,0.490566038
Point Pinos,2022,0.390476191,0.133333333
Point Pinos,2022,0.41025641,0.256410256
Point Pinos,2022,0.342592593,0.12037037
Point Pinos,2022,0.277310924,0.672268908
Point Pinos,2022,0.42,0.28
Point Pinos,2022,0.412371134,0.268041237
Point Pinos,2022,0.397959184,0.397959184
Point Pinos,2022,0.537037037,0.277777778
Point Pinos,2022,0.581632653,0.275510204
Point Pinos,2022,0.302158273,0.561151079
Point Pinos,2022,0.247524753,0.594059406
Point Pinos,2022,0.495412844,0.266055046
Point Pinos,2022,0.47311828,0.193548387
Point Pinos,2022,0.309090909,0.672727273
Point Pinos,2022,0.424242424,0.454545455
Point Pinos,2022,0.396396396,0.378378378
Point Pinos,2022,0.303921569,0.362745098
Point Pinos,2022,0.416666667,0.268518519
Point Pinos,2022,0.405063291,0.563291139
Point Pinos,2022,0.357798165,0.614678899
Point Pinos,2022,0.254901961,0.656862745
Point Pinos,2022,0.293103448,0.672413793
Point Pinos,2022,0.292307692,0.676923077
Soberanes,2022,0.253846154,0.561538462
Soberanes,2022,0.206349206,0.746031746
Soberanes,2022,0.129310345,0.706896552
Soberanes,2022,0.137096774,0.685483871
Soberanes,2022,0.257352941,0.713235294
Soberanes,2022,0.172413793,0.812807882
Soberanes,2022,0.234234234,0.702702703
Soberanes,2022,0.385542169,0.337349398
Soberanes,2022,0.261538462,0.538461539
Soberanes,2022,0.132275132,0.587301587
Soberanes,2022,0.207142857,0.507142857
Soberanes,2022,0.243243243,0.533783784
Soberanes,2022,0.372727273,0.409090909
Soberanes,2022,0.310606061,0.643939394
Soberanes,2022,0.598484849,0.234848485
Soberanes,2022,0.112149533,0.168224299
Soberanes,2022,0.196261682,0.009345794
Soberanes,2022,0.230088496,0.185840708
Soberanes,2022,0.074074074,0.324074074
Soberanes,2022,0.247619048,0.285714286
Cannery Row,2023,0.310679612,0.106796117
Cannery Row,2023,0.294117647,0.539215686
Cannery Row,2023,0.107843137,0.794117647
Cannery Row,2023,0.15,0.67
Cannery Row,2023,0.27,0.39
Cannery Row,2023,0.259615385,0.471153846
Cannery Row,2023,0.089285714,0.366071429
Cannery Row,2023,0.29,0.63
Cannery Row,2023,0.375,0.182692308
Cannery Row,2023,0.24,0.11
Cannery Row,2023,0.58,0.07
Cannery Row,2023,0.25,0.017857143
Cannery Row,2023,0.44,0.14
Cannery Row,2023,0.33,0.28
Cannery Row,2023,0.14,0.33
Carmel Point,2023,0.371428571,0.542857143
Carmel Point,2023,0.487603306,0.396694215
Carmel Point,2023,0.361904762,0.495238095
Carmel Point,2023,0.323529412,0.12745098
Carmel Point,2023,0.347305389,0.556886228
Carmel Point,2023,0.339393939,0.381818182
Carmel Point,2023,0.242718447,0.611650485
Carmel Point,2023,0.413407821,0.474860335
Carmel Point,2023,0.299270073,0.496350365
Carmel Point,2023,0.412371134,0.402061856
Carmel Point,2023,0.353982301,0.504424779
Carmel Point,2023,0.117647059,0.382352941
Carmel Point,2023,0.221153846,0.413461539
Carmel Point,2023,0.173076923,0.615384615
Carmel Point,2023,0.272727273,0.537878788
Carmel Point,2023,0.504132231,0.305785124
Carmel Point,2023,0.252252252,0.585585586
Carmel Point,2023,0.288135593,0.347457627
Carmel Point,2023,0.453947368,0.414473684
Carmel Point,2023,0.300970874,0.203883495
Carmel Point,2023,0.289719626,0.056074766
Carmel Point,2023,0.431372549,0.049019608
Carmel Point,2023,0.292517007,0.605442177
Carmel Point,2023,0.227941177,0.727941177
Carmel Point,2023,0.23015873,0.690476191
Carmel Point,2023,0.108108108,0.81981982
Carmel Point,2023,0.085714286,0.771428571
Carmel Point,2023,0.038461538,0.875
Carmel Point,2023,0.071428571,0.839285714
Carmel Point,2023,0.113095238,0.690476191
China Rock,2023,0.178947368,0.610526316
China Rock,2023,0.297029703,0.376237624
China Rock,2023,0.316831683,0.277227723
China Rock,2023,0.17948718,0.094017094
China Rock,2023,0.421568628,0.352941177
China Rock,2023,0.353846154,0.553846154
China Rock,2023,0.310679612,0.611650485
China Rock,2023,0.076923077,0.086538462
China Rock,2023,0.125,0.708333333
China Rock,2023,0.229508197,0.672131148
China Rock,2023,0.3125,0.322916667
China Rock,2023,0.309278351,0.546391753
China Rock,2023,0.08411215,0.757009346
China Rock,2023,0.477272727,0.420454546
China Rock,2023,0.310679612,0.514563107
Hopkins,2023,0,0
Hopkins,2023,0.310679612,0.184466019
Hopkins,2023,0.12631579,0.052631579
Hopkins,2023,0.05,0.71
Hopkins,2023,0,0
Hopkins,2023,0.26,0.62
Hopkins,2023,0.386138614,0.396039604
Hopkins,2023,0.153061225,0.020408163
Hopkins,2023,0.378947368,0.221052632
Hopkins,2023,0.217821782,0.415841584
Hopkins,2023,0.28,0.21
Hopkins,2023,0.340206186,0.041237113
Hopkins,2023,0.391752577,0.113402062
Hopkins,2023,0.280701754,0.052631579
Hopkins,2023,0.087378641,0
Hopkins,2023,0.545454546,0.01010101
Hopkins,2023,0.575757576,0.01010101
Hopkins,2023,0.480392157,0.156862745
Hopkins,2023,0.389830509,0.372881356
Hopkins,2023,0.18,0.44
Hopkins,2023,0.105769231,0.009615385
Hopkins,2023,0.084033613,0.100840336
Hopkins,2023,0.134615385,0.134615385
Hopkins,2023,0.702970297,0.049504951
Hopkins,2023,0.280373832,0.130841122
Hopkins,2023,0.080808081,0.515151515
Hopkins,2023,0.163793103,0.465517241
Hopkins,2023,0.21,0.24
Hopkins,2023,0.166666667,0.637254902
Hopkins,2023,0.237113402,0.298969072
Pescadero,2023,0.029411765,0.656862745
Pescadero,2023,0.423423423,0.450450451
Pescadero,2023,0.110091743,0.733944954
Pescadero,2023,0.262773723,0.708029197
Pescadero,2023,0.368983957,0.524064171
Pescadero,2023,0.40625,0.385416667
Pescadero,2023,0.32038835,0.514563107
Pescadero,2023,0.212765957,0.503546099
Pescadero,2023,0.140186916,0.700934579
Pescadero,2023,0.209302326,0.697674419
Pescadero,2023,0.43,0.12
Pescadero,2023,0.188034188,0.683760684
Pescadero,2023,0.171428571,0.778571429
Pescadero,2023,0.319727891,0.571428571
Pescadero,2023,0.026548673,0.938053097
Pescadero ,2023,0.215827338,0.633093525
Pescadero ,2023,0.263157895,0.494736842
Pescadero ,2023,0.247619048,0.580952381
Pescadero ,2023,0.290322581,0.620967742
Pescadero ,2023,0.188405797,0.775362319
Point Pinos,2023,0.361904762,0.323809524
Point Pinos,2023,0.245098039,0.607843137
Point Pinos,2023,0.059405941,0.881188119
Point Pinos,2023,0.168316832,0.663366337
Point Pinos,2023,0.124031008,0.813953488
Point Pinos,2023,0.196078431,0.18627451
Point Pinos,2023,0.203252033,0.243902439
Point Pinos,2023,0.373913044,0.034782609
Point Pinos,2023,0.637168142,0.230088496
Point Pinos,2023,0.523489933,0.362416107
Point Pinos,2023,0.226027397,0.726027397
Point Pinos,2023,0.144067797,0.771186441
Point Pinos,2023,0.180451128,0.69924812
Point Pinos,2023,0.44,0.31
Point Pinos,2023,0.3,0.49
Point Pinos,2023,0.088495575,0.831858407
Point Pinos,2023,0.349514563,0.485436893
Point Pinos,2023,0.394160584,0.445255475
Point Pinos,2023,0.137614679,0.816513762
Point Pinos,2023,0.330508475,0.542372881
Point Pinos,2023,0.472222222,0.361111111
Point Pinos,2023,0.138613861,0.455445545
Point Pinos,2023,0.446428571,0.294642857
Point Pinos,2023,0.57,0.26
Point Pinos,2023,0.37037037,0.407407407
Soberanes,2023,0.111111111,0.083333333
Soberanes,2023,0.14159292,0.026548673
Soberanes,2023,0.175757576,0.781818182
Soberanes,2023,0.204081633,0.37755102
Soberanes,2023,0.141414141,0.060606061
Soberanes,2023,0.08490566,0.735849057
Soberanes,2023,0.141732284,0.102362205
Soberanes,2023,0.091743119,0.155963303
Soberanes,2023,0.104166667,0.0625
Soberanes,2023,0.451612903,0.467741936
Soberanes,2023,0.414634146,0.544715447
Soberanes,2023,0.38,0.13
Soberanes,2023,0.188118812,0.01980198
Soberanes,2023,0.46875,0.2734375
Soberanes,2023,0.590909091,0.376623377
Soberanes,2023,0.554054054,0.297297297
Soberanes,2023,0.152542373,0.347457627
Soberanes,2023,0.113207547,0.273584906
Soberanes,2023,0.185185185,0.583333333
Soberanes,2023,0.114583333,0.083333333
Soberanes,2023,0.361111111,0.5625
Soberanes,2023,0.181818182,0.721590909
Soberanes,2023,0.08,0.794285714
Soberanes,2023,0.286549708,0.608187135
Soberanes,2023,0.236024845,0.639751553
Soberanes,2023,0.284313726,0.147058824
Soberanes,2023,0.25,0.46875
Soberanes,2023,0.212121212,0.646464647
Soberanes,2023,0.253521127,0.464788732
Soberanes,2023,0.333333333,0.557692308
Soberanes ,2023,0.106870229,0.099236641
Soberanes ,2023,0.559701493,0.335820896
Soberanes ,2023,0.421875,0.1796875
Soberanes ,2023,0.391666667,0.066666667
Soberanes ,2023,0.150442478,0.053097345
Cannery Row,2024,0.291262136,0.019417476
Cannery Row,2024,0.393617021,0.489361702
Cannery Row,2024,0.422222222,0.433333333
Cannery Row,2024,0.403225807,0.427419355
Cannery Row,2024,0.589473684,0.178947368
Cannery Row,2024,0.12345679,0.049382716
Cannery Row,2024,0.418181818,0.109090909
Cannery Row,2024,0.344444444,0.344444444
Cannery Row,2024,0.108910891,0.455445545
Cannery Row,2024,0.27184466,0.097087379
Cannery Row,2024,0.095238095,0
Cannery Row,2024,0.128712871,0.02970297
Cannery Row,2024,0.317307692,0.009615385
Cannery Row,2024,0.188679245,0.028301887
Cannery Row,2024,0.34375,0.614583333
Cannery Row,2024,0,0.151515152
Cannery Row,2024,0.23,0.25
Cannery Row,2024,0.278846154,0.163461539
Cannery Row,2024,0.028846154,0.009615385
Cannery Row,2024,0.284210526,0.231578947
Cannery Row,2024,0.101010101,0.02020202
Cannery Row,2024,0.065420561,0.009345794
Cannery Row,2024,0.368421053,0.378947368
Cannery Row,2024,0.157894737,0.357894737
Cannery Row,2024,0.131313131,0.767676768
Cannery Row,2024,0.020408163,0
Cannery Row,2024,0.313131313,0.070707071
Cannery Row,2024,0.24,0.45
Cannery Row,2024,0.198019802,0.00990099
Cannery Row,2024,0.211009174,0.018348624
Cannery Row,2024,0.3,0.56
Cannery Row,2024,0.1,0.56
Cannery Row,2024,0.288461539,0.096153846
Cannery Row,2024,0.154639175,0.113402062
Cannery Row,2024,0.190476191,0.047619048
Carmel Point,2024,0.31,0.32
Carmel Point,2024,0.319587629,0.340206186
Carmel Point,2024,0.291666667,0.416666667
Carmel Point,2024,0.2,0.589473684
Carmel Point,2024,0.198019802,0.702970297
Carmel Point,2024,0.181818182,0.636363636
Carmel Point,2024,0.11,0.88
Carmel Point,2024,0.233009709,0.650485437
Carmel Point,2024,0.092783505,0.329896907
Carmel Point,2024,0.336633663,0.475247525
Carmel Point,2024,0.193877551,0.336734694
Carmel Point,2024,0.153061225,0.510204082
Carmel Point,2024,0.418367347,0.173469388
Carmel Point,2024,0.527777778,0.342592593
Carmel Point,2024,0.443181818,0.102272727
Carmel Point,2024,0.195876289,0.06185567
Carmel Point,2024,0.42962963,0.325925926
Carmel Point,2024,0.232323232,0.262626263
Carmel Point,2024,0.44,0.32
Carmel Point,2024,0.1875,0.489583333
Carmel Point,2024,0.288659794,0.319587629
Carmel Point,2024,0.160714286,0.464285714
Carmel Point,2024,0.411764706,0.196078431
Carmel Point,2024,0.278846154,0.240384615
Carmel Point,2024,0.375,0.317307692
Carmel Point,2024,0.183206107,0.450381679
Carmel Point,2024,0.202020202,0.585858586
Carmel Point,2024,0.198019802,0.366336634
Carmel Point,2024,0.330097087,0.126213592
Carmel Point,2024,0.168421053,0.231578947
Hopkins,2024,0.115789474,0.72631579
Hopkins,2024,0.301075269,0.247311828
Hopkins,2024,0.446428571,0.491071429
Hopkins,2024,0.153846154,0.721153846
Hopkins,2024,0.12244898,0.551020408
Hopkins,2024,0.242105263,0.294736842
Hopkins,2024,0.436170213,0.085106383
Hopkins,2024,0.125,0.083333333
Hopkins,2024,0.212765957,0.510638298
Hopkins,2024,0.604166667,0.083333333
John Denver,2024,0.412844037,0.431192661
John Denver,2024,0.469387755,0.183673469
John Denver,2024,0.603773585,0.254716981
John Denver,2024,0.438095238,0.180952381
John Denver,2024,0.631578947,0.026315789
John Denver,2024,0.072072072,0.891891892
John Denver,2024,0.091836735,0.642857143
John Denver,2024,0.489795918,0.428571429
John Denver,2024,0.417721519,0.392405063
John Denver,2024,0.504504505,0.405405405
John Denver,2024,0.443298969,0.319587629
John Denver,2024,0.581818182,0.227272727
John Denver,2024,0.510638298,0.319148936
John Denver,2024,0.372340426,0.29787234
John Denver,2024,0.59375,0.208333333
John Denver,2024,0.392156863,0.039215686
John Denver,2024,0.78,0.08
John Denver,2024,0.410526316,0.410526316
John Denver,2024,0.32,0.57
John Denver,2024,0.678899083,0.183486239
John Denver,2024,0.203883495,0.533980583
John Denver,2024,0.247524753,0.475247525
John Denver,2024,0.210526316,0.694736842
John Denver,2024,0.152380952,0.619047619
John Denver,2024,0.173469388,0.693877551
John Denver,2024,0.237623762,0.524752475
John Denver,2024,0.397959184,0.37755102
John Denver,2024,0.444444444,0.484848485
John Denver,2024,0.327102804,0.317757009
John Denver,2024,0.371428571,0.314285714
Pescadero,2024,0.03125,0.90625
Pescadero,2024,0.153061225,0.744897959
Pescadero,2024,0.514018692,0.308411215
Pescadero,2024,0.5,0.28125
Pescadero,2024,0.061946903,0.769911504
Pescadero,2024,0.114035088,0.631578947
Pescadero,2024,0.425925926,0.259259259
Pescadero,2024,0.145833333,0.791666667
Pescadero,2024,0.241758242,0.494505495
Pescadero,2024,0.524752475,0.316831683
Pescadero,2024,0.131868132,0.78021978
Pescadero,2024,0.132653061,0.775510204
Pescadero,2024,0.131868132,0.472527473
Pescadero,2024,0.380952381,0.542857143
Pescadero,2024,0.113207547,0.377358491
Pescadero,2024,0.153846154,0.721153846
Pescadero,2024,0.010989011,0.923076923
Pescadero,2024,0.281818182,0.309090909
Pescadero,2024,0.316831683,0.415841584
Pescadero,2024,0.436363636,0.090909091
Pescadero,2024,0.320754717,0.169811321
Pescadero,2024,0.226804124,0.154639175
Pescadero,2024,0.22,0.73
Pescadero,2024,0.051546392,0.855670103
Pescadero,2024,0.106382979,0.829787234
Point Pinos,2024,0.287037037,0.472222222
Point Pinos,2024,0.398148148,0.240740741
Point Pinos,2024,0.453488372,0.081395349
Point Pinos,2024,0.586206897,0.356321839
Point Pinos,2024,0.33,0.13
Point Pinos,2024,0.144444444,0.555555556
Point Pinos,2024,0.234042553,0.712765957
Point Pinos,2024,0.378947368,0.368421053
Point Pinos,2024,0.345794393,0.364485981
Point Pinos,2024,0.239583333,0.5
Point Pinos,2024,0.483146067,0.280898876
Point Pinos,2024,0.64,0.17
Point Pinos,2024,0.307692308,0.35042735
Point Pinos,2024,0.53271028,0.242990654
Point Pinos,2024,0.393939394,0.202020202
Point Pinos,2024,0.578947368,0.347368421
Point Pinos,2024,0.457142857,0.361904762
Point Pinos,2024,0.345794393,0.551401869
Point Pinos,2024,0.39,0.25
Point Pinos,2024,0.474747475,0.464646465
Gate 16,2024,0.181818182,0.363636364
Gate 16,2024,0.462365591,0.279569893
Gate 16,2024,0.535087719,0.280701754
Gate 16,2024,0.60952381,0.142857143
Gate 16,2024,0.53271028,0.224299065
Gate 16,2024,0.302083333,0.510416667
Gate 16,2024,0.403846154,0.192307692
Gate 16,2024,0.546296296,0.240740741
Gate 16,2024,0.25,0.6
Gate 16,2024,0.326086957,0.434782609
Gate 16,2024,0.432989691,0.12371134
Gate 16,2024,0.215686275,0.147058824
Gate 16,2024,0.380434783,0.065217391
Gate 16,2024,0.309090909,0.581818182
Gate 16,2024,0.245762712,0.245762712
Gate 16,2024,0.00990099,0.118811881
Gate 16,2024,0.29787234,0.223404255
Gate 16,2024,0.105769231,0.701923077
Gate 16,2024,0.166666667,0.712962963
Gate 16,2024,0.065217391,0.163043478
Gate 16,2024,0.423913044,0.304347826
Gate 16,2024,0.411214953,0.327102804
Gate 16,2024,0.182795699,0.311827957
Gate 16,2024,0.17,0.24
Gate 16,2024,0.233333333,0.075
Gate 16,2024,0.07079646,0.831858407
Gate 16,2024,0.245454546,0.7
Gate 16,2024,0.112244898,0.744897959
Gate 16,2024,0.235849057,0.641509434
Gate 16,2024,0.14,0.73
Gate 16,2024,0.142857143,0.204081633
Gate 16,2024,0.179245283,0.41509434
Gate 16,2024,0.14159292,0.115044248
Gate 16,2024,0.03,0.06
Gate 16,2024,0.527777778,0.083333333
Pescadero,2024,0.632653061,0.030612245
Pescadero,2024,0.613207547,0.094339623
Pescadero,2024,0.163043478,0.706521739
Pescadero,2024,0.12371134,0.721649485
Pescadero,2024,0.102040816,0.673469388
Soberanes,2024,0.12745098,0.480392157
Soberanes,2024,0.093220339,0.271186441
Soberanes,2024,0.217821782,0.069306931
Soberanes,2024,0.421052632,0.026315789
Soberanes,2024,0.12037037,0.018518519
Soberanes,2024,0.085106383,0.010638298
Soberanes,2024,0.121495327,0.009345794
Soberanes,2024,0.423423423,0.279279279
Soberanes,2024,0.228571429,0.628571429
Soberanes,2024,0.18487395,0.739495798
Soberanes,2024,0.4,0.031578947
Soberanes,2024,0.262626263,0.090909091
Soberanes,2024,0.333333333,0.225225225
Soberanes,2024,0.582608696,0.2
Soberanes,2024,0.383838384,0.212121212
Soberanes,2024,0.208333333,0.739583333
Soberanes,2024,0.491071429,0
Soberanes,2024,0.193548387,0.333333333
Soberanes,2024,0.076923077,0.017094017
Soberanes,2024,0.086614173,0.133858268
Soberanes,2024,0.305084746,0.440677966
Soberanes,2024,0.107843137,0.009803922
Soberanes,2024,0.396226415,0.396226415
Soberanes,2024,0.396226415,0.188679245
Soberanes,2024,0.372727273,0.063636364
China Rock,2024,0.293577982,0.266055046
China Rock,2024,0.25,0.576086957
China Rock,2024,0.157894737,0.4
China Rock,2024,0.317073171,0.426829268
China Rock,2024,0.361111111,0.425925926
China Rock,2024,0.242105263,0.6
China Rock,2024,0.260869565,0.173913044
China Rock,2024,0.329787234,0.276595745
China Rock,2024,0.419354839,0.225806452
China Rock,2024,0.180851064,0.755319149
Soberanes,2024,0.17,0.02
Soberanes,2024,0.569892473,0.053763441
Soberanes,2024,0.72815534,0.106796117
Soberanes,2024,0.234042553,0.031914894
Soberanes,2024,0.077669903,0.038834951
Soberanes,2024,0.068627451,0.039215686
Soberanes,2024,0.054347826,0
Soberanes,2024,0.02970297,0
Soberanes,2024,0.326530612,0.142857143
Soberanes,2024,0.32,0.22
China Rock,2024,0.531914894,0.021276596
China Rock,2024,0.141304348,0.086956522
China Rock,2024,0.155963303,0.137614679
China Rock,2024,0.434782609,0.358695652
China Rock,2024,0.319148936,0.606382979
China Rock,2024,0.11827957,0.806451613
China Rock,2024,0.139784946,0.623655914
China Rock,2024,0.127659575,0.723404255
China Rock,2024,0.177570094,0.495327103
China Rock,2024,0.247524753,0.485148515
Hopkins,2024,0.574257426,0.247524753
Hopkins,2024,0.363636364,0.434343434
Hopkins,2024,0.323232323,0.444444444
Hopkins,2024,0.134020619,0.515463918
Hopkins,2024,0.083333333,0.489583333
Hopkins,2024,0.429906542,0.186915888
Hopkins,2024,0.262626263,0.151515152
Hopkins,2024,0.351724138,0.213793103
Hopkins,2024,0.529411765,0.210084034
Hopkins,2024,0.217821782,0.257425743
Hopkins,2024,0.4,0.421052632
Hopkins,2024,0.282828283,0.525252525
Hopkins,2024,0.06,0.65
Hopkins,2024,0.275229358,0.458715596
Hopkins,2024,0.06122449,0.836734694
Hopkins,2024,0.215686275,0.62745098
Hopkins,2024,0.211111111,0.533333333
Hopkins,2024,0.048543689,0.922330097
Hopkins,2024,0.12,0.07
Hopkins,2024,0.126213592,0.281553398
Hopkins,2024,0.14,0.12
Hopkins,2024,0.471698113,0.132075472
Hopkins,2024,0.32967033,0.010989011
Hopkins,2024,0.142857143,0.020408163
Hopkins,2024,0.339130435,0.147826087
Hopkins,2024,0.445544555,0.108910891
Hopkins,2024,0.212121212,0.717171717
Hopkins,2024,0.504854369,0.330097087
Hopkins,2024,0.091743119,0.486238532
Hopkins,2024,0.009259259,0.148148148
Gate 16,2024,0.177083333,0.739583333
Gate 16,2024,0.029126214,0.145631068
Gate 16,2024,0.191489362,0.606382979
Gate 16,2024,0.3125,0.375
Gate 16,2024,0.075471698,0.037735849
China Rock,2024,0.1875,0.677083333
China Rock,2024,0.198019802,0.594059406
China Rock,2024,0.38,0.34
China Rock,2024,0.26,0.6
China Rock,2024,0.083333333,0.729166667
China Rock,2024,0.09375,0.84375
China Rock,2024,0.22,0.7
China Rock,2024,0,0.01980198
China Rock,2024,0.184466019,0.737864078
China Rock,2024,0.058252427,0.893203884
